What type of coverage certificate are there?,"Most general Takaful certificates are annual  that is, they last for one year. Some certificates are issued for longer periods  like Fire Takaful for residences  and some for shorter periods  like Takaful for goods transportation or for emergency medical treatment during foreign travel"
How much should I get covered for?,"The amount to be covered for is called the sum covered. Normally Takaful certificate should cover the value of the asset,either the market value while insuring, or the cost of replacing the asset should it be lost or destroyed. The contribution will depend on the sum covered."
Can I take up two certificates and get claims under both of them?,"In case of an indemnity cover (one that seeks to compensate the actual loss)for instance, a Takaful certificate that covers property, if there are two certificates involved, the loss shall be shared by both the certificates. In no case can a participant get more than the actual pecuniary loss he or she has incurred. On the other hand, in respect of benefit certificates like the Personal Accident Takaful certificate, where a fixed benefit is paid, no matter what the actual loss is, one may obtain benefits from more than one Takaful certificate."
What will be the basis for the claim to be pay?,"In indemnity certificates, the upper limit of a claim is the sum covered and this usually applies for the period of the Takaful certificate. Certain certificates, however, allow for reinstatement of the Sum Covered by payment of proportionate contribution for the remaining period of the Takaful certificate. The actual claim will be the actual extent of financial loss as validated by documents like bills. If the property is under covered, the participant shall bear a rate able proportion of the loss. There can be more than one claim in the Takaful certificate period but the sum covered is usually the limit for the Takaful certificate period unless reinstated."
What is the peridocity of contribution payments?,"Most general Takaful certificates are annual and the contribution payment is in advance. No risk commences unless you have paid the contribution. In some long term certificates, companies have the facility of collecting contributions periodically."
What is A-EnrichGold-i,"A-EnrichGold-i is a Shariah-compliant Benefit and maturity value. It also offers you the potential of upside investment. It also offers you the potential of upside investment gains  investment-linked portion which provides you with increasing Lifestyle and the flexibility in managing your savings.On top of that, it also provides coverage on death and Total and Permanent Disability (TPD)"
How many Investment Funds are available for this plan?,You can choose your own maturity plan and no forfeiture if you cancel your family takaful plan. You are also eligible to be exempted from income tax on your family takaful plan.
What does A-EnrichGold-I can give to you?,"  When your plan reaches maturity, you will receive a lump sum of money depending on your chosen plan type"
How many plan type for A-EnrichGold?," There are 2 plan types for you to choose from: (% of your Basic Sum Covered) : Type 1 : Just 10 years of contribution payment allows you to enjoy benefits up to 25 years,Type 2 :Type 2 : Just 20 years of contribution payment allows you to enjoy benefits up to 30  years"
Am I eligible for Fund switching and what are the charges?,"Yes, you are allowed to switch your Funds according to your risk tolerance level."
What is the minimum Basic Sum Covered for A-EnrichGold-i?,"The minimum Basic Sum Covered for A-EnrichGold-i is RM15,000."
Who is eligible to be Person Covered under A-EnrichGold-i?,This plan is available to individuals aged between 14 days to 65 years old.
Are the contributions paid for A-EnrichGold-i eligible for income tax relief?,"Yes, the contributions paid for this plan may qualify you for a personal income tax relief up to RM6,000 under the category of annual life insurance and EPF, subject to the final decision of the Inland Revenue Board of Malaysia."
What is the contribution paying term and coverage period for A-EnrichGold-i?,"There are 2 plan types for you to choose from: Type 1 : Contribution paying term of 10 years and covers up to 25 years, 10P25.,Type 2 : Contribution paying term of 20 years and covers up to 30 years, 20P30."
How much annual contribution do I have to pay?,"Age 20 years old : Type 1 : 10Pay25 RM 315.70 , Type 2 : 20Pay30 RM 187.00,Age 30 years old :Type 1 : RM 317.90,Type 2 : 20Pay30RM 188.10,Age 40 years old : Type 1 : 10Pay25  RM 323.40,Type 2 : 20Pay30 RM 193.60"
What is A-Life Legasi Builder ?,"A-Life Legasi Builder is a regular contribution Family Takaful plan which provides death and TPD benefit. Furthermore, this plan provides additional coverage for death due to accident or death during Hajj or Umrah. It offers high protection with a minimum coverage amount of RM350,000."
How long should I pay the contribution for A-Life Legasi Builder," It depends on the contributions term that you have chosen, i.e. 5 years, 10 years, 20 years of cooperation. Each participant agrees to contribute on the bases basis of Tabarru (donation) into  term."
How is my contribution being allocated?,"This amount will be allocated into Participant's Account Fund and Tabarru will Takaful expenses and direct distribution be deducted from the Participant's Account  costs, including the commission payable to"
Who is eligible to be the person covered for A-Life Legasi Builder?,This plan is available for individuals aged between 14 days old and 70 years old. Maturity age pre-determined ratio of 20:80 between AIA  conducting the affairs of takaful business.
 How much do I have to pay for A-Life Legasi Builder?,The contribution is fixed based on the chosen coverage amount.
What are the fees and charges that I have to pay?,Fund management charge.
What is not covered by A-Life Legasi Builder?," The plans do not cover death due to suicide while sane or insane,Accidental Death Benefit (including in Public Conveyance or due to Natural Disaster),Assault or murder or due to war (declared or undeclared), revolution, riot and civil,industrial action or terrorist activity."
What is an investment-linked plan?,"An investment linked plan is a plan that combines investment and protection into the plan. The contributions that you pay provide coverage not only for your protection needs, but will also be invested in Shariah compliant investment funds that will grow your investment portfolio."
Can I switch my fund for A-Life Legasi Builder under my Participant's Investment Fund ,"Yes, you can switch funds according to your risk tolerance level. The switching fee is currently revision to the participants. conditions prior to issue date or commencement date whichever is later free. However, we may revise the switching fee by giving three (3) month notice regarding "
Will I get to enjoy any Surplus?,"Surplus will be determined and declared, if any, once a year by the Takaful Operator. If there is any Surplus arising from the Participant's Risk Fund, the net Surplus, after claims payable and"
WHY A-LIFE IKHTIAR?,COMPREHENSIVE PROTECTION IN ONE SINGLE PLAN AND SEAMLESS BENEFIT PAYMENT HIBAH (GIFT) UPON DEATH OF THE PERSON COVERED your certificate. PROCESS THROUGH You will receive 100% of your account value upon expiry/maturity of
WHAT IS A-LIFE IKHTIAR?,1 COMPREHENSIVE PROTECTION IN ONE SINGLE PLAN AND SEAMLESS BENEFIT PAYMENT PROCESS THROUGH You will receive 100% of your account value upon expiry/maturity of HIBAH (GIFT) UPON DEATH OF THE PERSON COVERED your certificate.
How A-LIFE IKHTIAR works?,"Mr. Izian, a 30-year-old male non-smoker participate in A-Life Ikhtiar with a coverage amount of RM150,000, attach A-Plus ContinuatorExtra-i with a coverage amount of RM2,000 and A-Plus Saver-i with an additional contribution of RM200 a month. Mr Izian choose to be covered until age of 70."
What is Takaful myTerm?,It is a pure protection term plan that covers you in the event of Death or Total Permanent Disability (TPD) that occurs due to all causes during the term of the coverage.
Who is myTerm Takaful suitable for ,"Takaful myTerm is generally suitable for people who are looking for a basic life protection at an affordable contribution. The plan lump sum benefit payout can be used to meet some of your basic needs such as income protection, mortgage protection and more."
Who can apply for myTerm takaful plan?,This plan is offered to Malaysians aged 19 to 45 years old next birthday.
What is the coverage term of this myTerm plan, The coverage term of this plan is either 10 or 20 years.
When will my myTerm Takaful coverage begin?,"Your coverage will take effect upon our approval of your application and successful payment of the first contribution due via credit/
debit card. The effective date will be stated in your e-Certificate."
Who can apply for A-Life Ikhtiar?,"This plan is available for individuals aged between 14 days old and 60 years old. For pre-natal participation, the plan is available from 13 weeks up to 35 weeks of gestation."
What is A-Life Kasih Famili?,"A-Life Kasih Famili is a regular contribution Family Takaful plan that provides you coverage on death, disability and accidental death. You can also choose to enhance the plan's  basic protection by adding optional benefits on spouse coverage and critical illness "
Who is eligible to participate in A-Life Kasih Famili?,16 years old +
What is the term of coverage for A-Life Kasih Famili?,The certificate will mature on the certificate anniversary or when the Person Covered attains age 70.
How much is the coverage amount in A-Life Kasih Famili?,"You can choose the coverage amount from a minimum amount of RM50,000 up to a maximum amount of RM500,000. For A-Plus ProtectSpouse-i rider, the minimum coverage amount is"
How much annual contribution do I have to pay?,"The contribution is based on your selection of basic coverage amount and contribution Contribution rate will vary according to age, gender, smoking status and occupational class. The ptional Benefit For Critical Illness Coverage table below shows the indicative annual health, with coverage amount of RM50,000."
What is the term of contributions for A-Life Kasih Famili?,You will need to pay your contributions up to the attained age of 70 years old.
 Do I get to enjoy Surplus ,"surplus will be determined and declared, if any, at least once a year by AIA PUBLIC. Surplus will be paid annually, half-yearly, quarterly or monthly, according to the available payment methods.any Surplus arising from the PRF, the net Surplus, after claims payable and required reserves"
 Are contributions paid for A-Life Kasih Famili eligible for income tax relief?,"Contributions paid for this plan may qualify you for a personal tax relief, subject to the final decision of the Malaysian Inland Revenue Board."
 Can I cancel the Takaful Certificate?,Yes. You may cancel or surrender your Takaful Certificate by giving a written notice to AIA PUBLIC PUBLIC and you. Your share will be allocated  takaful business.
Does AIA PUBLIC have any other takaful plans that can complement A-Life Kasih Famili?, You can fulfil your family's protection and medical needs by participating in A-Life Kasih
What are the major exclusions for A-Life Kasih Famili?," All other critical illnesses for which the signs or symptoms first occurred within 30 days Critical illness was diagnosed directly or indirectly due to a congenital defect or disease Suicide within one (1) year from the Issue Date or Commencement Date of the certificate,  The diagnosis of Fulminant Viral Hepatitis, Cancer, Encephalitis, Bacterial Meningitis,Assault or murder; or"
What is A-Life Medik Famili,A-Life Medik Famili  is a standalone medical and health Takaful plan that provides comprehensive coverage on medical and hospitalisation coverage. Its value proposition allows you to extend the same coverage to your spouse and/or children. 
Will I get to enjoy the plan's coverage when travelling overseas?,"Other than Singapore and Brunei, we are not able to cover any medical treatment that you incur"
Will my contributions increase as my age increases?,Yes. The contributions payable will depend on your attained age when the contributions are due.
 Are my contributions guaranteed?, Your contributions are not guaranteed and the AIA PUBLIC reserves the right to revise the contributions by giving 30 days prior written notice.
Who is eligible to participate in A-Life Medik Famili?,Minimum age of 16 years old until maximum age of 99 years old
 What is the term of contributions for A-Life Medik Famili?,"The Person Covered will need to pay his/her contributions up to the attained age of 100 years old. Contributions can be paid annually, half-yearly, quarterly or monthly, according to available payment methods."
 How will the family members be covered by A-Life Medik Famili?,Family members who are included in the A-Life Medik Famili plan will enjoy the same benefits
"If one of my children is hospitalised and claims under this plan, will this affect the coverage for my spouse and other children?","The unique benefit of A-Life Medik Famili is that each person covered under the plan enjoys medical and education plan,enjoys their own individual protection, yet you only contribute the same contribution amount as you do towards your own coverage protection."
Are contributions paid for A-Life Medik Famili eligible for income tax relief?,"Contributions paid for this plan may qualify you for a personal tax relief of up to RM3,000 for medical and education plan, subject to the Malaysian Inland Revenue Board."
What is Deductible?,Deductible is a fixed amount of RM300 that must be paid by the Person Covered or Covered Member per Disability before any Hospitalisation and Surgical Benefits are payable by the Takaful Operator
Will my monthly contributions increase as I get older?,"For takaful plans that offer life protection, your monthly contributions should be fixed and will not change for the duration of the certificate. However, if you fail to pay your contribution and as a result, your certificate expires.For standalone health protection, your contribution will increase as you age. However, if you prefer to purchase an investment-linked family takaful plan with health coverage as a rider, your contribution should be fixed for the entire certificate duration."
How much coverage do I usually need?,"When determining your takaful coverage, you should consider these two primary factors: How much money your dependents will need to live on after you are gone and how much money will be needed to pay off your current debts, such as home loan(s), car loan(s) and credit card(s).
It’s important to understand that your coverage is an individualised number. You and your takaful advisor must examine your current and future financial situation to determine the best coverage you need."
What are the affordable & suitable takaful package for fresh grad that had secured first job ?,"look for Takaful plans that are made for young adults like you. These Takaful options are affordable (less than RM100/month), suitable for first-time Takaful participants, and provide basic coverage that is  just enough for yourself.Later on, if you feel like you need to enhance your protection or receive a higher amount of benefits (or the amount payable to you from the Takaful fund), you can customise your Takaful plan with additional coverage options."
In what ways Takaful offer better benefits to the policyholders compared to normal insurance?,"Takaful insurance is ethical, socially-responsible, and advocates for the environment.Takaful insurance may get you cash back from its fund surplus.If you did not get injured or sick within the coverage period and did not make a claim, you may be eligible for cash back from your Takaful insurance.Takaful insurance supports your community via mutual assistance.Signing up as a Takaful participant means you’re joining a collective that provides mutual financial assistance to each other."
"My job provided medical insurance for me,Why do I need Takaful for?","One thing that you need to remember about employer insurance is this: you are only insured as long as you are employed at your company.So, having personal Takaful insurance actually makes sure that your coverage is not affected by changes in your employment status. You are always financially protected if you get into an accident or get seriously ill."
Where can I take up my Takaful plan,You can sign up for a Takaful plan by visiting any of Takaful Operator branches located nationwide and the customer service representative will assign a takaful agent to assist you with your purchase.
What are the documentations required to participate in Takaful?,"You are required to submit a certified true copy of IC/birth certificate (if child), proposal form, e-confirmation form, customer fact finding, and agent's confidential report."
What do I need to sign up for a plan?,"In order to sign up for a plan, you will need to identify your protection and investment needs and financial appetite. You can contact any Takaful Operator Customer Service Centre number to assist you with your queries and arrange for one of their agents to speak to you to help determine your specific needs including basic coverage, benefits and decide on a suitable amount to be set aside for your contributions."
What does Takaful Operator means?,A person who is licensed to manage a Takaful fund according to Shariah principles.
What does Takaful Participant means?,A person who contributes regularly to a Takaful fund and receives coverage from specified accidents or misfortunes.
What does Death Benefit means?,The amount payable to your beneficiaries in case you (the Takaful participant) passes away from an accident when your coverage is active.
What does contribution means,The monthly payment you (the Takaful participant) makes in exchange for Takaful coverage from specified accidents or misfortunes.
Can a bankrupt person participate in takaful?,"No,they are not allowed to participate"
Why Takaful is important for Muslim if everything that happens in this world is by the will of Allah?,"Takaful is not superseding the power or will of Allah in one  life, death or destiny (Qada and Qadar) but is achieving the pleasure of Allah who orders us to  help … one another in righteousness and piety. The main objective of Takaful is to provide a level of comfort to the participants against unexpected future risk through mutual cooperation."
There are so many types of insurance out there. Where do I start?,"In general, Life Insurance can be broadly categorized into:

1)Traditional insurance
2)Investment linked insurance
3)Medical and health insurance"
What are the key considerations in purchasing a Life Insurance policy?,"1)Risks that you wish to cover
2)Your financial goals
3)Your desired protection level
4)Your budget
5)Your risk appetite
"
What should I be aware of when I buy a  Takaful policy?,"1)Deal only with registered agents
Life insurance agents who are registered with the Life Insurance Association of Malaysia (LIAM) are required to pass a pre-contract examination that is conducted by the Malaysian Insurance Institute (MII).                                       2)Know your rights
If you intend to purchase a Life Insurance product from life insurance agents, you can ask for a copy of the insurance company’s service guide                                                                                                                                        3)Understand the product well
Do not be tempted by verbal promises or guarantees of high returns. Insist on product-related documents such as Sales Illustration, Product Disclosure Sheet and/or fund performance reports before committing to buy a  Insurance policy.                                                                                                                                                                "
"I spotted a new Life Insurance product that I like.
Can I cancel my current policy and purchase a new policy?","Since buying a Life Insurance policy is a long-term commitment, it is not advisable to terminate your policy early because the surrender value is usually less than the total premiums paid. You might also be charged with a higher premium if you purchase a new policy since you are older now"
What will happen to my Insurance policy if I fail to pay my premium on time?,"There is a grace period, which gives you an additional period of time after the premium payment due date. During this period, you can still pay your premium and your policy still continues to be in-force. Usually, you are given a grace period minimum of thirty (30) days from the Billing Date, subjected to the company practices.After 30 days,your takaful policty will void and lapse."
My certificate is lapsed. Can I reinstate my certificate?,"Yes. The reinstatement is allowed within 6 months from the lapse date. You will need to submit the reinstatement request by
completing the application form here and pay all outstanding contributions. However, the acceptance of your reinstatement
request is subject to the health underwriting at the time of your request"
"I can no longer afford to pay for my premiums or contributions, for one reason or another.
What can I do?","Speak to your servicing agent about the options available,such as :
1)Traditional Life Insurance with Cash Value
The life insurance company can often make changes to ensure that your Life Insurance policy can remain in-force without further premium payments.                                                                                                                                                 2)Investment Linked Insurance
As a portion of the premiums paid is invested into investment funds of your choice, your investment linked insurance policy will accumulate an investment value over time."
Will I get a refund if I cancel my certificate?,"If you cancel within the 15 days free-look period from the delivery of your e-Certificate, the total contribution that you have paid
will be refunded.
	 However, if you cancel after the 15 days free-look period, you will not be entitled to any refund of contribution or cash value. Your
coverage will cease on the next contribution due date where you do not require to make further contributions."
When will I receive my certificate?,"Upon your successful application with contribution payment, we will email you the e-Certificate based on the email address provided in your application form and a link to download the Certificate Wording for the terms and conditions of this plan. Y"
